iter	Passed	Remaining
0	1	183
1	7	369
2	9	317
3	10	263
4	12	241
5	15	240
6	16	225
7	22	255
8	24	249
9	26	236
10	27	225
11	29	216
12	31	208
13	37	229
14	39	222
15	40	213
16	42	206
17	43	199
18	46	198
19	52	209
20	54	203
21	55	196
22	56	190
23	58	184
24	60	180
25	62	177
26	67	181
27	68	176
28	70	171
29	71	166
30	82	183
31	85	182
32	88	179
33	97	188
34	99	185
35	103	184
36	112	191
37	115	188
38	118	186
39	121	182
40	129	186
41	130	180
42	132	176
43	135	172
44	137	168
45	140	165
46	144	162
47	149	161
48	154	160
49	156	156
50	158	152
51	160	148
52	169	150
53	172	147
54	175	143
55	187	147
56	191	144
57	200	144
58	205	143
59	208	139
60	216	138
61	217	133
62	219	129
63	221	124
64	224	120
65	231	119
66	233	115
67	235	110
68	236	106
69	238	102
70	243	99
71	247	96
72	249	92
73	250	88
74	252	84
75	254	80
76	261	78
77	263	74
78	264	70
79	266	66
80	267	62
81	269	59
82	273	55
83	277	52
84	279	49
85	280	45
86	282	42
87	283	38
88	284	35
89	292	32
90	295	29
91	297	25
92	299	22
93	306	19
94	309	16
95	311	12
96	314	9
97	315	6
98	322	3
99	324	0
