iter	Passed	Remaining
0	152	152300
1	154	76982
2	159	53098
3	161	40205
4	163	32490
5	164	27318
6	166	23623
7	168	20852
8	169	18696
9	171	17022
10	173	15619
11	175	14441
12	176	13437
13	179	12612
14	180	11863
15	186	11453
16	188	10898
17	190	10373
18	191	9894
19	193	9462
20	194	9070
21	196	8714
22	200	8513
23	203	8264
24	206	8049
25	209	7842
26	210	7597
27	212	7366
28	214	7176
29	215	6976
30	217	6787
31	218	6616
32	220	6453
33	221	6298
34	223	6152
35	227	6091
36	229	5962
37	230	5835
38	232	5720
39	234	5617
40	235	5508
41	236	5404
42	238	5305
43	242	5279
44	244	5187
45	245	5100
46	247	5015
47	248	4932
48	250	4854
49	251	4779
50	252	4706
51	257	4702
52	259	4634
53	261	4575
54	262	4512
55	264	4454
56	265	4395
57	267	4338
58	268	4283
59	273	4285
60	275	4244
61	277	4193
62	278	4143
63	280	4095
64	281	4053
65	283	4008
66	288	4013
67	290	3981
68	294	3971
69	295	3931
70	297	3890
71	298	3850
72	300	3820
73	302	3783
74	305	3762
75	308	3748
76	310	3721
77	321	3803
78	324	3786
79	333	3834
80	335	3803
81	336	3769
82	337	3727
83	338	3694
84	340	3662
85	341	3631
86	346	3640
87	348	3611
88	350	3583
89	351	3555
90	353	3527
91	354	3499
92	356	3472
93	361	3480
94	362	3454
95	364	3435
96	366	3408
97	367	3382
98	368	3358
99	370	3334
100	372	3311
101	377	3324
102	379	3306
103	383	3307
104	386	3290
105	391	3305
106	394	3288
107	395	3270
108	401	3278
109	403	3262
110	406	3254
111	411	3260
112	414	3252
113	420	3265
114	428	3299
115	430	3279
116	435	3285
117	437	3270
118	439	3254
119	441	3237
120	443	3221
121	444	3199
122	446	3180
123	451	3191
124	457	3201
125	467	3242
126	469	3224
127	471	3210
128	478	3232
129	481	3220
130	483	3209
131	486	3196
132	525	3422
133	527	3408
134	530	3399
135	533	3391
136	539	3399
137	542	3386
138	544	3372
139	549	3375
140	555	3386
141	558	3371
142	560	3357
143	564	3357
144	566	3340
145	572	3348
146	574	3334
147	579	3334
148	581	3318
149	586	3326
150	589	3314
151	592	3307
152	595	3297
153	604	3321
154	608	3318
155	611	3310
156	618	3321
157	621	3310
158	624	3303
159	627	3294
160	633	3299
161	636	3292
162	638	3280
163	640	3266
164	642	3251
165	648	3257
166	650	3244
167	652	3229
168	653	3214
169	655	3199
170	657	3185
171	663	3193
172	665	3181
173	668	3175
174	671	3163
175	676	3167
176	678	3153
177	679	3139
178	681	3124
179	682	3110
180	684	3096
181	685	3081
182	687	3067
183	692	3069
184	693	3054
185	694	3040
186	696	3027
187	697	3014
188	699	3000
189	700	2986
190	701	2972
191	706	2975
192	708	2961
193	709	2948
194	711	2938
195	713	2926
196	714	2913
197	716	2900
198	721	2902
199	722	2890
200	724	2879
201	726	2869
202	728	2858
203	730	2848
204	731	2838
205	736	2839
206	738	2830
207	740	2819
208	742	2809
209	744	2799
210	745	2788
211	747	2777
212	750	2772
213	752	2762
214	756	2761
215	758	2751
216	762	2752
217	764	2742
218	765	2731
219	767	2720
220	769	2711
221	770	2700
222	772	2690
223	773	2680
224	778	2682
225	780	2672
226	781	2662
227	783	2652
228	784	2642
229	786	2632
230	787	2622
231	789	2612
232	791	2604
233	792	2595
234	794	2587
235	796	2577
236	797	2568
237	799	2558
238	800	2549
239	805	2552
240	807	2543
241	808	2533
242	810	2524
243	811	2515
244	813	2506
245	814	2497
246	818	2496
247	820	2489
248	822	2480
249	823	2471
250	825	2463
251	827	2454
252	828	2446
253	829	2437
254	835	2441
255	837	2433
256	839	2425
257	840	2417
258	842	2408
259	843	2400
260	844	2392
261	849	2394
262	852	2389
263	854	2383
264	858	2380
265	860	2374
266	867	2380
267	869	2374
268	871	2369
269	874	2363
270	876	2356
271	881	2360
272	883	2353
273	886	2349
274	888	2341
275	889	2334
276	891	2326
277	896	2327
278	897	2319
279	899	2313
280	901	2305
281	902	2298
282	904	2290
283	905	2282
284	909	2281
285	911	2274
286	912	2267
287	914	2260
288	915	2253
289	917	2245
290	918	2238
291	920	2231
292	925	2233
293	928	2229
294	930	2222
295	931	2215
296	933	2208
297	934	2201
298	936	2194
299	942	2198
300	944	2193
301	951	2198
302	958	2205
303	963	2205
304	965	2200
305	972	2206
306	974	2200
307	977	2195
308	979	2189
309	981	2184
310	991	2197
311	1004	2215
312	1006	2209
313	1011	2209
314	1013	2203
315	1018	2205
316	1021	2200
317	1023	2194
318	1025	2189
319	1027	2183
320	1029	2177
321	1051	2214
322	1053	2208
323	1056	2203
324	1058	2197
325	1060	2193
326	1067	2196
327	1069	2191
328	1071	2185
329	1073	2178
330	1075	2173
331	1082	2178
332	1085	2173
333	1086	2167
334	1088	2160
335	1090	2154
336	1091	2147
337	1097	2149
338	1100	2145
339	1102	2140
340	1105	2136
341	1112	2139
342	1116	2139
343	1119	2134
344	1121	2129
345	1127	2131
346	1129	2125
347	1131	2119
348	1132	2112
349	1134	2106
350	1135	2100
351	1137	2094
352	1144	2097
353	1146	2092
354	1158	2104
355	1160	2099
356	1162	2094
357	1164	2088
358	1166	2082
359	1168	2076
360	1173	2077
361	1175	2071
362	1176	2064
363	1178	2059
364	1180	2053
365	1181	2047
366	1183	2041
367	1189	2042
368	1190	2036
369	1192	2030
370	1194	2024
371	1195	2018
372	1197	2012
373	1198	2006
374	1204	2007
375	1205	2001
376	1207	1995
377	1208	1989
378	1210	1982
379	1211	1976
380	1213	1970
381	1214	1964
382	1216	1958
383	1218	1954
384	1219	1948
385	1220	1942
386	1222	1936
387	1223	1930
388	1225	1924
389	1229	1922
390	1231	1918
391	1233	1913
392	1237	1911
393	1239	1905
394	1240	1899
395	1245	1899
396	1247	1894
397	1248	1888
398	1250	1882
399	1251	1877
400	1252	1871
401	1254	1865
402	1255	1860
403	1260	1860
404	1262	1854
405	1263	1849
406	1265	1843
407	1266	1838
408	1268	1832
409	1269	1827
410	1271	1821
411	1276	1821
412	1277	1816
413	1279	1810
414	1280	1805
415	1282	1799
416	1283	1794
417	1285	1789
418	1286	1783
419	1288	1779
420	1290	1774
421	1291	1769
422	1293	1764
423	1294	1758
424	1296	1753
425	1297	1748
426	1302	1748
427	1304	1743
428	1306	1738
429	1307	1733
430	1308	1727
431	1310	1722
432	1311	1717
433	1313	1712
434	1318	1712
435	1320	1707
436	1321	1702
437	1322	1697
438	1324	1692
439	1325	1687
440	1327	1682
441	1332	1682
442	1335	1679
443	1337	1674
444	1339	1670
445	1340	1665
446	1342	1660
447	1343	1655
448	1345	1650
449	1347	1646
450	1349	1642
451	1351	1638
452	1356	1638
453	1358	1634
454	1360	1629
455	1362	1625
456	1363	1620
457	1365	1615
458	1367	1611
459	1368	1606
460	1370	1602
461	1374	1600
462	1378	1598
463	1383	1598
464	1386	1595
465	1388	1590
466	1390	1586
467	1392	1582
468	1398	1583
469	1400	1579
470	1402	1574
471	1403	1570
472	1405	1565
